,Keyword,Score,Poem,Author
1,throne,1.5398,Loneliness,Hewitt
2,head,0.883,Loneliness,Hewitt
3,insult,0.8114,Loneliness,Hewitt
4,greeting,0.6312,Loneliness,Hewitt
5,foe,0.5818,Loneliness,Hewitt
6,cowardice,0.55,Loneliness,Hewitt
7,venom,0.4504,Loneliness,Hewitt
8,afar,0.4338,Loneliness,Hewitt
9,bark,0.4304,Loneliness,Hewitt
0,nature,0.3247,What Created Me A Human Being,Hewitt
1,mortal,0.2982,What Created Me A Human Being,Hewitt
2,human,0.2854,What Created Me A Human Being,Hewitt
3,clouds,0.2698,What Created Me A Human Being,Hewitt
4,borne,0.2589,What Created Me A Human Being,Hewitt
5,mountain,0.2462,What Created Me A Human Being,Hewitt
6,transformed,0.23,What Created Me A Human Being,Hewitt
7,remained,0.2269,What Created Me A Human Being,Hewitt
8,death,0.2194,What Created Me A Human Being,Hewitt
9,verdant,0.2122,What Created Me A Human Being,Hewitt
0,roses,1.1949999999999998,Yet Again Shall I See The Spring,Hewitt
1,shall,0.986,Yet Again Shall I See The Spring,Hewitt
2,witness,0.7908,Yet Again Shall I See The Spring,Hewitt
3,profusion,0.7671999999999999,Yet Again Shall I See The Spring,Hewitt
4,violet,0.7602,Yet Again Shall I See The Spring,Hewitt
5,snake,0.7408,Yet Again Shall I See The Spring,Hewitt
6,torment,0.677,Yet Again Shall I See The Spring,Hewitt
7,poison,0.6488,Yet Again Shall I See The Spring,Hewitt
8,loveliness,0.6296,Yet Again Shall I See The Spring,Hewitt
9,exquisite,0.5532,Yet Again Shall I See The Spring,Hewitt
0,heart,2.3169,Thrush Its The Same Song You Sing,Hewitt
1,god,1.7870999999999997,Thrush Its The Same Song You Sing,Hewitt
2,mind,1.3679999999999999,Thrush Its The Same Song You Sing,Hewitt
3,yearning,1.3443,Thrush Its The Same Song You Sing,Hewitt
4,mourn,1.2516,Thrush Its The Same Song You Sing,Hewitt
5,tree,0.9531,Thrush Its The Same Song You Sing,Hewitt
6,song,0.8436,Thrush Its The Same Song You Sing,Hewitt
7,troubled,0.7977000000000001,Thrush Its The Same Song You Sing,Hewitt
8,years,0.7748999999999999,Thrush Its The Same Song You Sing,Hewitt
9,sweetly,0.7476,Thrush Its The Same Song You Sing,Hewitt
